Country FR,Country,Indicator Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,Aruba,Densité de la population (personnes par kilomètre carré de superficie des terres),"503,27","507,99","511,52","517,38","528,54","542,42","552,25","556,39","560,65","564,47","565,77","569,95","578,39","587,08","593,37","599,48","604,04","604,08","605,04","606,68","603,26","598,33","596,17",
Afghanistan,Afghanistan,Densité de la population (personnes par kilomètre carré de superficie des terres),"30,86","31,10","32,78","34,85","36,12","37,42","38,98","39,73","40,60","42,11","43,37","45,00","46,85","48,48","50,28","51,87","53,20","54,72","56,33","58,04","59,90","61,33","62,22",
Angola,Angola,Densité de la population (personnes par kilomètre carré de superficie des terres),"12,99","13,43","13,90","14,39","14,92","15,47","16,05","16,67","17,31","17,98","18,69","19,43","20,20","20,99","21,79","22,59","23,41","24,25","25,10","25,97","26,83","27,70","28,58",
Albanie,Albania,Densité de la population (personnes par kilomètre carré de superficie des terres),"112,74","111,69","111,35","110,93","110,47","109,91","109,22","108,39","107,57","106,84","106,31","106,03","105,85","105,66","105,44","105,14","104,97","104,87","104,61","104,17","103,57","102,62","101,38",
Andorre,Andorra,Densité de la population (personnes par kilomètre carré de superficie des terres),"139,76","140,11","141,50","147,84","158,14","164,73","169,33","174,21","177,65","178,49","171,71","165,50","163,48","159,99","156,89","153,56","153,58","156,94","159,92","162,71","164,64","166,73","169,59",
Le monde arabe,The Arab world,Densité de la population (personnes par kilomètre carré de superficie des terres),"25,50","26,13","26,76","27,40","28,04","28,72","29,42","30,17","30,95","31,73","32,37","33,12","29,08","29,84","30,55","31,31","32,05","32,69","33,28","33,91","34,63","35,16","35,99",
Émirats arabes unis,United Arab Emirates,Densité de la population (personnes par kilomètre carré de superficie des terres),"49,19","52,43","55,71","59,03","62,36","65,68","70,53","79,20","88,74","94,44","96,73","100,04","104,08","108,32","113,48","119,76","125,81","129,87","131,61","133,00","132,37","134,82","141,86",
Argentine,Argentina,Densité de la population (personnes par kilomètre carré de superficie des terres),"13,60","13,75","13,90","14,04","14,18","14,33","14,48","14,62","14,77","14,93","15,09","15,25","15,41","15,56","15,72","15,89","16,04","16,18","16,32","16,43","16,51","16,56","16,59",
Arménie,Armenia,Densité de la population (personnes par kilomètre carré de superficie des terres),"113,14","112,81","112,39","111,78","111,17","110,52","109,84","109,15","108,43","107,69","106,95","106,35","106,22","106,15","105,86","105,54","105,10","104,65","104,29","104,06","104,02","104,05","104,29",
Samoa américaines,American Samoa,Densité de la population (personnes par kilomètre carré de superficie des terres),"284,28","285,27","285,31","284,86","284,09","283,09","281,87","280,57","279,14","277,64","276,14","274,48","272,45","270,03","267,33","264,39","261,23","257,93","254,54","251,05","248,81","246,13","241,71",
Antigua-et-Barbuda,Antigua and Barbuda,Densité de la population (personnes par kilomètre carré de superficie des terres),"170,25","172,88","175,07","177,01","178,91","180,93","183,19","185,69","188,44","191,30","193,91","196,21","198,32","200,15","201,74","203,20","204,48","205,61","206,65","207,65","208,74","209,88","211,00",
Australie,Australia,Densité de la population (personnes par kilomètre carré de superficie des terres),"2,48","2,51","2,54","2,57","2,59","2,63","2,66","2,71","2,77","2,82","2,87","2,91","2,96","3,01","3,06","3,10","3,14","3,20","3,25","3,29","3,33","3,34","3,38",
Autriche,Austria,Densité de la population (personnes par kilomètre carré de superficie des terres),"97,09","97,46","97,94","98,42","99,03","99,71","100,20","100,53","100,84","101,11","101,35","101,69","102,16","102,76","103,57","104,73","105,87","106,61","107,13","107,61","108,06","108,53","109,57",
Azerbaïdjan,Azerbaijan,Densité de la population (personnes par kilomètre carré de superficie des terres),"97,43","98,19","98,91","99,62","100,48","101,52","102,67","103,85","106,06","108,29","109,54","110,98","112,46","113,92","115,35","116,73","118,03","119,21","120,26","121,28","122,12","122,66","122,71",
Burundi,Burundi,Densité de la population (personnes par kilomètre carré de superficie des terres),"251,95","258,35","265,74","274,27","284,68","295,46","306,29","317,83","331,22","348,43","365,13","378,43","392,17","406,52","420,55","430,20","437,67","448,08","461,82","477,23","491,32","504,89","518,73",
Belgique,Belgium,Densité de la population (personnes par kilomètre carré de superficie des terres),"337,96","339,12","340,65","342,07","343,56","345,45","347,74","350,30","353,08","355,93","359,20","363,90","366,17","367,90","369,53","371,68","373,57","375,01","374,74","376,76","378,39","379,95","383,03",
Bénin,Benign,Densité de la population (personnes par kilomètre carré de superficie des terres),"64,04","66,03","68,07","70,18","72,36","74,73","77,10","79,41","81,84","84,33","86,89","89,51","92,21","94,97","97,82","100,75","103,74","106,77","109,82","112,87","115,91","118,96","122,02",
Burkina Faso,Burkina Faso,Densité de la population (personnes par kilomètre carré de superficie des terres),"43,59","44,94","46,35","47,82","49,34","50,92","52,54","54,15","55,77","57,42","59,12","60,90","62,76","64,68","66,63","68,63","70,67","72,71","74,70","76,62","78,50","80,39","82,27",
Bangladesh,Bangladesh,Densité de la population (personnes par kilomètre carré de superficie des terres),"1 033,60","1 050,98","1 067,32","1 082,97","1 097,82","1 111,74","1 124,73","1 136,89","1 148,30","1 159,05","1 169,26","1 179,93","1 191,29","1 202,52","1 213,53","1 224,42","1 235,40","1 245,96","1 256,23","1 266,91","1 277,54","1 288,00","1 301,26",
Bulgarie,Bulgaria,Densité de la population (personnes par kilomètre carré de superficie des terres),"73,85","72,40","72,03","71,48","70,95","70,50","69,97","69,47","68,99","68,57","68,12","67,69","67,30","66,92","66,54","66,12","65,66","65,18","64,71","64,26","63,87","63,35","61,19",
Bahreïn,Bahrain,Densité de la population (personnes par kilomètre carré de superficie des terres),"898,00","931,43","1 000,78","1 061,83","1 128,41","1 201,11","1 297,87","1 385,73","1 451,97","1 550,55","1 612,26","1 558,04","1 570,08","1 627,52","1 705,01","1 761,34","1 827,63","1 924,51","1 931,99","1 902,25","1 875,42","1 904,26","1 929,99",
Bahamas,Bahamas,Densité de la population (personnes par kilomètre carré de superficie des terres),"32,35","32,75","33,13","33,53","33,94","34,36","34,80","35,30","35,78","36,24","36,71","37,14","37,51","37,86","38,19","38,50","38,77","39,01","39,23","39,43","39,55","39,60","39,71",
Bosnie-Herzégovine,Bosnia and Herzegovina,Densité de la population (personnes par kilomètre carré de superficie des terres),"81,25","81,63","81,80","81,61","80,88","80,01","79,36","78,39","77,10","75,78","74,44","73,08","71,68","70,52","69,63","68,72","67,83","66,97","66,15","65,34","64,44","63,38","62,59",
Bélarus,Belarus,Densité de la population (personnes par kilomètre carré de superficie des terres),"49,20","48,95","48,64","48,30","47,98","47,64","47,34","47,12","46,96","46,84","46,74","46,63","46,56","46,54","46,55","46,61","46,65","46,60","46,50","46,41","46,21","45,84","45,46",
Belize,Belize,Densité de la population (personnes par kilomètre carré de superficie des terres),"10,56","10,89","11,22","11,56","11,91","12,26","12,62","12,98","13,34","13,71","14,04","14,35","14,66","14,98","15,30","15,62","15,99","16,36","16,67","16,91","17,13","17,33","17,66",
Bermudes,Bermuda,Densité de la population (personnes par kilomètre carré de superficie des terres),"1 139,81","1 145,69","1 150,78","1 155,30","1 158,43","1 161,31","1 163,59","1 166,85","1 172,22","1 177,13","1 180,09","1 180,24","1 178,63","1 177,30","1 176,46","1 175,26","1 174,98","1 177,37","1 182,06","1 187,17","1 192,26","1 197,19","1 199,06",
Bolivie,Bolivia,Densité de la population (personnes par kilomètre carré de superficie des terres),"7,94","8,08","8,22","8,35","8,50","8,64","8,79","8,94","9,09","9,25","9,40","9,55","9,71","9,86","10,01","10,17","10,32","10,47","10,62","10,77","10,91","11,02","11,15",
Brésil,Brazil,Densité de la population (personnes par kilomètre carré de superficie des terres),"20,82","21,09","21,36","21,61","21,86","22,10","22,33","22,56","22,78","22,98","23,18","23,36","23,56","23,75","23,94","24,13","24,31","24,49","24,66","24,82","24,96","25,07","25,16",
